资产,实测级,phi1,t1,phiL_bp,tL,phi2_bp,t2,phi3,t3,SR买持
中证1000,4.0,0.055,2.7,5.42,1.47,11.02,2.84,0.0051,0.25,0.2
中证500,3.0,0.0376,1.95,5.21,1.49,6.0,1.81,0.0032,0.17,0.13
沪深300,2.0,0.0151,0.84,1.24,0.44,-1.4,-0.52,-0.0206,-1.17,0.07
黄金现货,2.0,0.0156,0.62,0.13,0.04,2.05,0.46,-0.0216,-0.87,0.84
黄金期货,2.0,-0.0079,-0.42,1.55,0.82,-0.55,-0.28,-0.0188,-0.97,0.48
纳斯达克100,2.0,-0.0309,-1.39,-0.97,-0.39,5.44,1.62,-0.0605,-3.9,0.76
白银,1.0,0.0058,0.29,-1.54,-0.39,2.37,0.56,-0.0111,-0.61,0.21
螺纹钢,1.0,-0.044,-2.32,1.06,0.34,2.22,0.82,-0.0251,-1.62,-0.1
铜,1.0,-0.0438,-2.53,0.52,0.26,1.2,0.55,-0.0473,-3.03,0.18
豆粕,1.0,-0.053,-2.12,-5.39,-1.57,-0.87,-0.3,0.0236,1.31,0.0
PTA,1.0,0.013,0.68,-0.84,-0.32,2.4,1.02,-0.0659,-3.97,-0.09
甲醇,1.0,-0.0436,-2.1,-0.14,-0.03,-2.7,-0.69,-0.0253,-1.45,0.11
创业板指,,0.0312,1.72,4.87,1.08,7.91,2.03,-0.0035,-0.21,0.26
标普500,,-0.0403,-1.96,-1.85,-1.39,6.73,2.53,-0.0322,-2.22,0.66
